Avg. $R^2$,Sample Size,Selected,Size of Selected Subset,# Correct Variables Selected,Sum of Sq. Cannonical Correlations
0.9002427048037346,100.0,[ 9 17  5 11  0  3 15 12  1 18 13 14  4 49  7  8 10  2 19  6 16 48],22,20,20.0
0.9002427048037346,100.0,[ 7 16 11  8  4  9 14 19 18  0 13 12  3 15  1  6 10 17  5  2 31],21,20,20.0
0.9002427048037346,100.0,[ 2  4 14 17  1 15  0 16 12 11 10  6  7 19 13  9  5  3 18  8 23],21,20,20.0
0.9002427048037346,100.0,[14  6  8 15 18  5 19 17 13 26 11  9 12  4 10  0  7  1 20 16],20,18,19.66520241786505
0.9002427048037346,100.0,[12 13 10 14 16 20 15  4 18  7 17  9  0  6  8 11 26 19  5  1],20,18,19.665202417865054
0.9002427048037346,100.0,[ 2 17 14 18  9 10  3  5  6  0  1 11  8 15  4  7 13 16 19 12 30],21,20,20.0
0.9002427048037346,100.0,[20 15  0 14  6 26 17 16 19 11 18  4 12  7  5  9 21  8 10 13  1],21,18,19.722942393386937
0.9002427048037346,100.0,[ 3 11  7  1  8 10 17 14 18  4  5 12 16 13  9  6 15  2 19  0],20,20,20.0
0.9002427048037346,100.0,[ 7  2  4 17 13  3 11  5  1 14  8 15 16 10 19  6 18 12  9  0],20,20,20.0
0.9002427048037346,100.0,[ 4  6  7 10  8 11 15  3 12  2 18 14 17  0 16  9 13  5  1 19],20,20,20.0
0.9002427048037346,100.0,[12  5  9 15  0 19  1 17 14  2  4 16  6 10 13  7 11  8 18  3],20,20,20.0
0.9002427048037346,100.0,[ 5  0 14 15 16  1  7  2  9 17 19 13 18 11  4 10 12  3  6  8],20,20,19.999999999999996
0.9002427048037346,100.0,[ 7  6  5  4 17  9 14 15 18  2 12 13  8 11 19 10  0 16  3  1 45],21,20,20.0
0.9002427048037346,100.0,[15  7  6 17 12 10  5 19  2 16 13 11 14  0  9  3 18  4  1  8 37],21,20,20.0
0.9002427048037346,100.0,[16  5  4 20 26 12  3 18 11 17 10 15 19  8 14  7  6 13  9  2],20,18,19.665202417865057
0.9002427048037346,100.0,[ 6 16 18  3  7  2 12 15  5  4 11 13 10  8  0 19 17  9  1 14 33],21,20,19.999999999999996
0.9002427048037346,100.0,[18  1  3  6 10 16 17 19 22 26  0 12 20  4  5 15  9  8 13 11  7 14 25],23,19,19.860170657858525
0.9002427048037346,100.0,[14  2  0  1  9 11  5 15  8  7  6 16 19 10  3  4 18 12 17 13 49],21,20,20.0
0.9002427048037346,100.0,[ 1  6 12 19 18 10 16  4 17  8  2  3  5 11  7  0  9 13 14 15 39],21,20,19.999999999999996
0.9002427048037346,100.0,[ 1 11  9 13 10  6  4 18 19 17 14 12  7  3  5 16 15  8  2  0 32],21,20,20.0
0.9002427048037346,100.0,[18 15  4  2 13  7 12  1 14 19  5 10  9  3  0  8 11 17  6 16],20,20,20.0
0.9002427048037346,100.0,[16 11  2  8 10 12  4 17 15  7  6  5  9  3 14 18  1  0 13 19 34],21,20,19.999999999999993
0.9002427048037346,100.0,[15  0 11  8 18  2 10 19 13  4  3  7 14  6 17  9  5 12 16  1],20,20,19.999999999999996
0.9002427048037346,100.0,[ 4 12 15  9  5  6 14 17 11 10 13  3 18  7  1  0  8 16  2 19 29],21,20,20.0
0.9002427048037346,100.0,[ 4 19 13  8 14  0  7  9  2 12  1 17 11 15  5 18 16  3 10  6 47],21,20,19.999999999999996
0.9002427048037346,100.0,[ 1  0  9 10 11 12 16  7  5  4  8  3  2 18  6 19 17 15 13 14 27],21,20,20.0
0.9002427048037346,100.0,[19  7 14  3  9  6 12 15  4  0 10 17  2  8 18  1 13  5 11 16 26],21,20,20.000000000000004
0.9002427048037346,100.0,[ 0  4  9 18 17  5  2  3 16  8 19 11 15 10  7  1  6 13 12 14 29],21,20,20.0
0.9002427048037346,100.0,[ 2  9 14 19 16 20 26  5 15  6 13 10  8 11 18 12  4 17  7  0],20,18,19.66520241786505
0.9002427048037346,100.0,[15 10  6 16  1 11 17  9  4  5  0  3  8 12 14  7  2 13 19 18],20,20,20.0
0.9002427048037346,100.0,[14  3  8  9  5 13 26 12 11  6 18 19 20 17 16  7 15  4 10  2],20,18,19.665202417865054
0.9002427048037346,100.0,[ 0 15 19 12 13  6 17  8  5  7  1  9 16  2 10 11 14 18  3  4],20,20,20.0
0.9002427048037346,100.0,[ 3 19 12  4  5 15  9 13  8 14 11  2  1 18  0 10 16 17  7  6 32],21,20,19.999999999999996
0.9002427048037346,100.0,[ 3  2 17  1 10 19  8 13  4  9 18 14  6 16 11 15  0  5  7 12 30],21,20,20.0
0.9002427048037346,100.0,[ 4 12  8 19  2  0 18  3 14  5 17 11  9 15  7  6 10 13  1 16],20,20,20.0
0.9002427048037346,100.0,[ 0  9 13 15 17 14 26 20 18  8 11 10  4  5  6 19  7 12 16  2],20,18,19.665202417865057
0.9002427048037346,100.0,[38  7 10  0  1  8 16  9  4 12  2 25 13  6 15 14 18 11 19 17  3 42  5 31],24,20,20.000000000000004
0.9002427048037346,100.0,[ 5 13 12  3 16 10  6  4 17 11 18  7  1  0  2  8 15 19 23 14  9 29],22,20,20.000000000000004
0.9002427048037346,100.0,[18 11  1  7 13  4  8 14 15 17  3  6  0  9 10 19 12 16  2  5 34],21,20,19.999999999999996
0.9002427048037346,100.0,[18 14  6  4  9 15  8 12  7  0  5 10  2  3 13 16 17 11  1 19],20,20,20.0
0.9002427048037346,100.0,[16 11  1  2 17  9 15  0 18 14  6 13 12  7 19  5  3 10  8  4 31],21,20,19.999999999999996
0.9002427048037346,100.0,[ 9  8  5 16 19 17 20 14 15 12  0 10 11  4  7 26 13  6  2 18],20,18,19.665202417865057
0.9002427048037346,100.0,[ 6 16  4  2 10 15 18  7  8 11 14 12  9 13 19  5  1 17  3  0],20,20,20.0
0.9002427048037346,100.0,[14  4 12  6 17  8  5  2  7 10  9 11 19  1 18 15 13  0  3 16],20,20,20.0
